Password,Times
nvmmree,1.0
ymbndnp,1.0
pzqydp,1.0
qxma,0.0
pyayj,0.0
pnqagbsmmy,0.0
nqnpc,1.0
nqsn,0.0
gmsqxm,0.0
szhznkix,0.0
ewtnp,1.0
hobkqj,0.0
hssjook,0.0
lyjudtnu,1.0
vtyy,1.0
bcyelbrp,1.0
jfmahkbqp,0.0
rqyrzmqrwm,1.0
xxxtyqkboh,0.0
rilcmyn,1.0
mvreucpqbb,1.0
lvcpteltiy,1.0
asxkyh,0.0
xyjyn,0.0
jqzermwip,1.0
ibazqxg,0.0
hbsbjh,0.0
kkox,0.0
mzyob,0.0
wqvptyz,1.0
wctz,1.0
vyzuipn,1.0
yztqsgoxo,0.0
elwmzrwcz,1.0
axffbh,0.0
kjmmnxomko,0.0
qkymmonnx,0.0
bxpsxnk,0.0
qjvcctcy,1.0
bpbqbevc,1.0
wiup,1.0
wnqjnctc,1.0
yxygb,0.0
wlunwqtjvr,1.0
tkzj,0.0
szsf,0.0
pcer,1.0
zildy,1.0
yqnt,1.0
piabfqmo,0.0
mxqnmt,0.0
akjt,0.0
mpnmdcdm,1.0
jkqgbnyzmz,0.0
jtvuy,1.0
btxq,0.0
uznuv,1.0
ewwebnqrtb,1.0
njsxbbsmj,0.0
rjluy,1.0
vipzqj,1.0
rwumqbucqw,1.0
mvwnzev,1.0
mzzihkzh,0.0
zrqljpn,1.0
khhh,0.0
tgos,0.0
lddrw,1.0
cvewzzipt,1.0
zmjpc,1.0
mzmnmdq,1.0
jetnvrdlp,1.0
gbxn,0.0
lrnuijzti,1.0
mmpmysq,0.0
ssgzknjjs,0.0
hmnymnioqy,0.0
cmzbcjz,1.0
ffsa,0.0
izqpat,0.0
clqecu,1.0
utrrwjlqqr,1.0
ynun,1.0
jlzplu,1.0
ppiwppniwz,1.0
obftapb,0.0
asgb,0.0
wjwruvpv,1.0
jydzpuevvc,1.0
htzzhkbzm,0.0
pzwwwmc,1.0
ecdcyc,1.0
qathzffks,0.0
euyylrjwl,1.0
xxyiyh,0.0
jisyqzkppy,0.0
ghfpitiy,0.0
bfhj,0.0
imkatts,0.0
ymigqzk,0.0
yinjuudcvv,1.0
opzzahxt,0.0
bmbz,1.0
ewvi,1.0
qwvi,1.0
jyurpnl,1.0
eyydtivuev,1.0
nvjrnzt,1.0
nziq,1.0
jxyyqq,0.0
zmmn,0.0
hgppjhomy,0.0
btuc,1.0
zbng,0.0
vczzvubbm,1.0
aais,0.0
pvwnim,1.0
fffnhkfgnk,0.0
yianf,0.0
pjja,0.0
mved,1.0
otjozhosaj,0.0
epve,1.0
rclpb,1.0
sxhz,0.0
njajongim,0.0
mjerullv,1.0
ytfyh,0.0
szhpq,0.0
mdziwil,1.0
hpikbi,0.0
mgsn,0.0
